T,Buy date,Buy price,Sell date,Sell price,Profit Ratio
T1,08/25/2006,9.336336135864258,08/30/2006,9.528278350830078,0.020558623015778165
T2,04/01/2008,11.204705238342285,04/04/2008,11.78903865814209,0.05215071770029496
T3,10/24/2008,8.169919967651367,10/29/2008,8.958958625793457,0.09657850520767308
T4,07/20/2010,11.537286758422852,07/23/2010,12.263764381408691,0.06296780501320827
T5,11/06/2014,27.774999618530273,11/11/2014,28.06450080871582,0.010423085298348816
T6,01/05/2015,26.357500076293945,01/08/2015,25.345500946044922,-0.038395110587867175
T7,01/29/2015,25.645000457763672,02/03/2015,26.665000915527344,0.03977385219561892
T8,12/10/2018,52.14699935913086,12/13/2018,53.676998138427734,0.02934011157113635
T9,06/26/2019,54.54999923706055,07/01/2019,55.0,0.008249326658720255
T10,04/06/2020,56.650001525878906,04/09/2020,60.32849884033203,0.06493375490506757
T11,07/01/2022,107.93299865722656,07/07/2022,118.78299713134766,0.10052531300995816
T12,10/13/2022,95.1500015258789,10/18/2022,100.7699966430664,0.059064582522985805
Sum,,,,,0.04218088054257693
